banana_id,day,death_day,yellow_pct,dark_pct,image_path,days_to_death
1,0,11,95.6,1.9,../data/raw/banana_set_1/Screenshot_1.jpg,11
1,1,11,95.4,6.1,../data/raw/banana_set_1/Screenshot_2.jpg,10
1,2,11,93.6,22.6,../data/raw/banana_set_1/Screenshot_3.jpg,9
1,3,11,91.4,33.6,../data/raw/banana_set_1/Screenshot_4.jpg,8
1,4,11,91.8,37.3,../data/raw/banana_set_1/Screenshot_5.jpg,7
1,5,11,90.5,47.7,../data/raw/banana_set_1/Screenshot_6.jpg,6
1,6,11,89.9,64.9,../data/raw/banana_set_1/Screenshot_7.jpg,5
1,7,11,86.1,64.5,../data/raw/banana_set_1/Screenshot_8.jpg,4
1,8,11,79.9,73.7,../data/raw/banana_set_1/Screenshot_9.jpg,3
1,9,11,49.4,89.3,../data/raw/banana_set_1/Screenshot_10.jpg,2
1,10,11,32.5,92.6,../data/raw/banana_set_1/Screenshot_11.jpg,1
1,11,11,10.7,95.1,../data/raw/banana_set_1/Screenshot_12.jpg,0
2,0,5,97.1,0.3,../data/raw/banana_set_2/Screenshot_1.jpg,5
2,1,5,96.3,2.1,../data/raw/banana_set_2/Screenshot_2.jpg,4
2,2,5,95.1,5.6,../data/raw/banana_set_2/Screenshot_3.jpg,3
2,3,5,74.1,37.6,../data/raw/banana_set_2/Screenshot_4.jpg,2
2,4,5,42.0,68.3,../data/raw/banana_set_2/Screenshot_5.jpg,1
2,5,5,0.5,78.7,../data/raw/banana_set_2/Screenshot_6.jpg,0
3,0,6,95.8,7.3,../data/raw/banana_set_3/Screenshot_1.jpg,6
3,1,6,95.3,5.0,../data/raw/banana_set_3/Screenshot_2.jpg,5
3,2,6,92.9,8.2,../data/raw/banana_set_3/Screenshot_3.jpg,4
3,3,6,72.0,52.3,../data/raw/banana_set_3/Screenshot_4.jpg,3
3,4,6,50.3,57.2,../data/raw/banana_set_3/Screenshot_5.jpg,2
3,5,6,25.6,72.9,../data/raw/banana_set_3/Screenshot_6.jpg,1
3,6,6,4.3,81.2,../data/raw/banana_set_3/Screenshot_7.jpg,0
